title,published_date,section,url,abstract,per_facet
"Even After Supreme Court Ruling, Trump Insists He Can Do as He Wishes",2026-02-20,U.S.,https://www.nytimes.com/2026/02/20/us/politics/trump-justices-gorsuch-barrett-roberts.html,"President Trump showed open contempt for the court, calling the justices who voted against his tariffs “fools and lap dogs.” He quickly imposed new levies using legal powers still available to him.","Donald J Trump, Amy Coney Barrett, Neil M Gorsuch"
"Flashback: Your Weekly History Quiz, Feb. 21, 2026",2026-02-20,The Upshot,https://www.nytimes.com/interactive/2026/02/20/upshot/flashback.html,Can you sort 8 historical events?,
How Much Snow Will Fall Where You Live?,2022-02-23,The Upshot,https://www.nytimes.com/interactive/2026/upshot/snow-forecast-totals-lookup.html,Type in your community to see the full range of possibilities in the next few days.,
"Bench Presses, Pull Ups … Kid Rock? The White House Had a Very Manly Week.",2026-02-20,U.S.,https://www.nytimes.com/2026/02/20/us/politics/trump-hegseth-rfk-manliness.html,President Trump’s top cabinet officials are pumping iron in public.,"Donald J Trump, Sean P Duffy, Pete Hegseth, Robert F Jr Kennedy, Kid Rock, Mehmet C Oz, J D Vance"
He Researched Dishonesty. He Got Friendly With Jeffrey Epstein.,2026-02-21,Business,https://www.nytimes.com/2026/02/21/business/jeffrey-epstein-dan-ariely-dishonesty.html,"Dan Ariely, a behavioral scientist at Duke, sought out the convicted sex offender for his research. Their yearslong correspondence suggests it wasn’t all business.","Dan Ariely, Jeffrey E (1953- ) Epstein, Bernard L Madoff, Noel (1971- ) Biderman"
Trump Doubles Down on Closing Tax Loophole on Cheap Imports,2026-02-21,Business,https://www.nytimes.com/2026/02/21/business/trump-deminimis-loophole-closed.html,"The exemption was shut down last year by President Trump based, in part, on the same legal grounds as the tariffs that were invalidated by the Supreme Court.",Donald J Trump
Divide Among Supreme Court’s Conservatives Could Test Trump’s Agenda,2026-02-21,U.S.,https://www.nytimes.com/2026/02/21/us/politics/supreme-court-tariffs-conservatives.html,"In rejecting President Trump’s tariffs, the court’s six conservative justices displayed subtle differences in their views of executive power.","Samuel A Jr Alito, Amy Coney Barrett, Neil M Gorsuch, Elena Kagan, Brett M Kavanaugh, John G Jr Roberts, Clarence Thomas, Donald J Trump"
What Trafficked Girls Think of Jeffrey Epstein and His Pals,2026-02-21,Opinion,https://www.nytimes.com/2026/02/21/opinion/epstein-sex-trafficking.html,"Every year, more than 100,000 children may be sold for sex in the United States. Are we willing to do something about that?",Jeffrey E (1953- ) Epstein
Do You Back Into a Parking Spot or Back Out?,2026-02-21,Style,https://www.nytimes.com/2026/02/21/style/parking-backing-in-headfirst.html,An exploration of what’s driving a change in America’s parking lots.,
San José State Graduate Who Went Skiing Is Found Dead in Tree Well,2026-02-20,U.S.,https://www.nytimes.com/2026/02/20/us/san-jose-state-skier-dead.html,"The recent graduate, 21, was on a trail in the Lake Tahoe region of California on Tuesday and did not return, prompting a search. His death is under investigation, the authorities said.",Colin Kang
